,forecast_mean,forecast_se,lower_ci_0.95,upper_ci_0.95
2024-10-01,609.7726576682647,13.04598821756806,584.1237998684571,635.4215154680724
2024-11-01,620.2968828121589,14.154612141612864,592.4684325654565,648.1253330588612
2024-12-01,686.6571417019204,15.182499174578073,656.807830489907,716.5064529139338
2025-01-01,564.2204498662629,16.145077190668168,532.4786774436325,595.9622222888934
2025-02-01,556.8242704068882,17.053408861550324,523.2966869385184,590.351853875258
2025-03-01,627.0470634934817,17.91574698709972,591.8240938582146,662.2700331287488
2025-04-01,610.1641136451801,18.738442475625938,573.3236966195086,647.0045306708516
2025-05-01,644.3456948470091,19.52650666962506,605.9559167371551,682.7354729568631
2025-06-01,624.1614937895923,20.28397641059271,584.2825043337114,664.0404832454733
2025-07-01,624.9307497569105,21.01416035277287,583.6161937660651,666.2453057477559
2025-08-01,632.6625551725339,21.719810580173593,589.9606667667603,675.3644435783075
2025-09-01,595.3540366343915,22.40324547794784,551.3084919094414,639.3995813593416
2025-10-01,611.9715005599954,23.06643978276145,566.6220932119824,657.3209079080085
2025-11-01,622.4847314894309,23.711091930957746,575.8679160306884,669.1015469481734
2025-12-01,688.834051135806,24.33867533093983,640.9833853074929,736.6847169641192
2026-01-01,566.3864747529792,24.95047801488919,517.3329839810542,615.4399655249042
2026-02-01,558.9794651691709,25.54763373539785,508.7519458833275,609.2069844550143
2026-03-01,629.191482281953,26.131146660347838,577.8167566835791,680.5662078803268
2026-04-01,612.297810339709,26.701911206712854,559.8009421759161,664.7946785035019
2026-05-01,646.4687230580654,27.26072813403463,592.8732017553941,700.0642443607367
2026-06-01,626.2739068595934,27.808317725175623,571.6018057439098,680.9460079752769
2026-07-01,627.0326007615614,28.34533067386737,571.304713872662,682.7604876504608
2026-08-01,634.7538969221616,28.872357148619784,577.9898580084232,691.5179358359001
2026-09-01,597.4349216752711,29.38993439298607,539.653308245921,655.2165351046211
