,0
1992-01-01,
1992-02-01,
1992-03-01,
1992-04-01,
1992-05-01,
1992-06-01,
1992-07-01,
1992-08-01,-12.48720670944392
1992-09-01,10.242255939880241
1992-10-01,12.074435643041424
1992-11-01,-0.60773171111442
1992-12-01,1.312600532524911
1993-01-01,7.765765080649743
1993-02-01,3.554324352416643
1993-03-01,-11.730141250528
1993-04-01,9.911425841422865
1993-05-01,-10.246202223699925
1993-06-01,-0.24458446437945547
1993-07-01,2.4408499728902706
1993-08-01,-10.303865488858216
1993-09-01,11.006408966562109
1993-10-01,3.8190765969008833
1993-11-01,5.593174816063984
1993-12-01,4.02482213925866
1994-01-01,0.09635531692893551
1994-02-01,3.4619578211982684
1994-03-01,4.9963142742672
1994-04-01,8.512258182160135
1994-05-01,-12.94569842035554
1994-06-01,3.385470655882431
1994-07-01,-9.432749920032485
1994-08-01,-2.413211355397843
1994-09-01,13.421949895244271
1994-10-01,6.189033796705443
1994-11-01,8.721912114370232
1994-12-01,8.074034138797842
1995-01-01,1.325624394481025
1995-02-01,-3.224161658960668
1995-03-01,-3.4154697619043253
1995-04-01,-4.761517817398019
1995-05-01,-6.5151085565232165
1995-06-01,7.817577847883159
1995-07-01,-9.582627806725249
1995-08-01,1.3431627445607344
1995-09-01,10.051205425218317
1995-10-01,-2.643380492437048
1995-11-01,6.351506631874761
1995-12-01,-3.2362241243403815
1996-01-01,-0.0816027508724062
1996-02-01,15.200649700237932
1996-03-01,-5.184615249964401
1996-04-01,4.684484584410281
1996-05-01,1.8935411109803795
1996-06-01,-5.42921056503833
1996-07-01,-4.633295453495157
1996-08-01,-1.1664167969881962
1996-09-01,0.4482355746150155
1996-10-01,9.967350961833032
1996-11-01,3.3600698894737118
1996-12-01,-8.181805088406477
1997-01-01,7.953991164566986
1997-02-01,4.451936674279864
1997-03-01,-1.0471294620728093
1997-04-01,0.7709225189419406
1997-05-01,-4.912389845644384
1997-06-01,-5.084324570962805
1997-07-01,1.8329483986667237
1997-08-01,-3.4530277472474697
1997-09-01,7.627138002211101
1997-10-01,9.888057085110374
1997-11-01,-4.580642531655323
1997-12-01,-1.9196044971869384
1998-01-01,4.509337030375974
1998-02-01,-0.6833940570613208
1998-03-01,-8.468732336209094
1998-04-01,10.749301685471632
1998-05-01,-2.927697547049604
1998-06-01,7.516692529940132
1998-07-01,0.1587617459131474
1998-08-01,-13.320617032060634
1998-09-01,3.301798520050628
1998-10-01,8.391630525824011
1998-11-01,-5.275433955201899
1998-12-01,4.3545106928294075
1999-01-01,-1.0677484677543418
1999-02-01,5.24727515297883
1999-03-01,6.858295435189114
1999-04-01,7.129124078504187
1999-05-01,-4.249251560228743
1999-06-01,5.518790647847469
1999-07-01,2.56869982185085
1999-08-01,-3.8063962384912973
1999-09-01,6.5618812546504195
1999-10-01,-5.931320930359421
1999-11-01,-1.856802064369285
1999-12-01,15.763018897109802
2000-01-01,-6.129172230504395
2000-02-01,19.704019437325883
2000-03-01,11.363724395029799
2000-04-01,-4.559939716625909
2000-05-01,-0.8691072755860318
2000-06-01,4.036968907955087
2000-07-01,-14.761124644867529
2000-08-01,-0.12268457040341652
2000-09-01,5.9416065989556195
2000-10-01,-4.295073708283811
2000-11-01,0.01672105110860933
2000-12-01,-2.731517749948196
2001-01-01,2.3399715210491934
2001-02-01,-0.10390485395015503
2001-03-01,-2.138780493547535
2001-04-01,2.0126061501844923
2001-05-01,5.530086381696606
2001-06-01,0.9868293237978936
2001-07-01,-12.757688736199022
2001-08-01,4.303648039219857
2001-09-01,-18.015452430632987
2001-10-01,20.69161447885395
2001-11-01,7.045176609622436
2001-12-01,-5.127004934362347
2002-01-01,2.3800990157658646
2002-02-01,0.03034951991719481
2002-03-01,-5.502752437059207
2002-04-01,3.7771178490177384
2002-05-01,-0.24534609448807032
2002-06-01,-6.46191650524902
2002-07-01,5.2962700757137435
2002-08-01,13.050217198768726
2002-09-01,-9.424506711369698
2002-10-01,-0.28695246460441304
2002-11-01,-2.5884700923911144
2002-12-01,-3.041054835445564
2003-01-01,7.992876764389251
2003-02-01,-6.930892572294226
2003-03-01,-9.333522538247287
2003-04-01,5.740052470083722
2003-05-01,2.6843229224973015
2003-06-01,-3.5286347215108673
2003-07-01,9.111578750222883
2003-08-01,6.384452097848046
2003-09-01,2.6488283169780438
2003-10-01,1.3769666502145963
2003-11-01,-11.346624089184113
2003-12-01,2.7110252424045456
2004-01-01,1.520111939449606
2004-02-01,4.220101331683509
2004-03-01,6.00546009835869
2004-04-01,10.14935046500764
2004-05-01,-1.9546065570320934
2004-06-01,-3.1559109829141345
2004-07-01,4.5530398722309195
2004-08-01,-7.680477744600077
2004-09-01,4.950033140646614
2004-10-01,-4.667271565549557
2004-11-01,-4.833912597709636
2004-12-01,16.052948693700486
2005-01-01,-6.369150109785409
2005-02-01,-4.052757712253197
2005-03-01,5.024587562663663
2005-04-01,6.934393438392274
2005-05-01,-7.136110780157878
2005-06-01,14.606798815847172
2005-07-01,11.321068624595192
2005-08-01,4.958802737597457
2005-09-01,-3.3453321210126283
2005-10-01,-16.038324722857254
2005-11-01,-7.317264140132929
2005-12-01,8.113550542907703
2006-01-01,-1.06403266884044
2006-02-01,-3.6019225215232495
2006-03-01,10.284772220768268
2006-04-01,3.886614565661457
2006-05-01,5.40227175460717
2006-06-01,5.893062739783419
2006-07-01,-3.4481610062210626
2006-08-01,5.156147502137619
2006-09-01,-3.376900656685219
2006-10-01,-11.570028557631732
2006-11-01,-3.8639407755371824
2006-12-01,4.449217426383072
2007-01-01,0.6295448208470305
